Titulo;Imagem;Link;Status Lote;Lance Atual;Visitas_lances
Leilão 24050 - 020 -  Apartamento Residencial - Ananindeua - PA ;https://photos.sodresantoro.com.br/imoveis/24050/2394624/1665750305_I15405A.JPG?ims=430x323;/leilao/24050/lote/2394624/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 346 | Lances: 0
Leilão 24050 - 021 -  Sala comercial Comercial (Desocupado)  - Rio De Janeiro - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394627/1671811501_I15483A.JPG?ims=430x323;/leilao/24050/lote/2394627/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 301 | Lances: 0
Leilão 24050 - 022 -  Casa Residencial - Juazeiro Do Norte - CE ;https://photos.sodresantoro.com.br/imoveis/24050/2394632/1686254641_I15750A.JPG?ims=430x323;/leilao/24050/lote/2394632/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 70.300;Visitas: 365 | Lances: 2
Leilão 24050 - 023 -  Casa Residencial - Itacoatiara - AM ;https://photos.sodresantoro.com.br/imoveis/24050/2394635/1686254645_I15751A.JPG?ims=430x323;/leilao/24050/lote/2394635/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 195 | Lances: 0
Leilão 24050 - 024 -  Casa Residencial - Mage - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394638/1686254648_I15752A.JPG?ims=430x323;/leilao/24050/lote/2394638/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 212.288;Visitas: 502 | Lances: 1
Leilão 24050 - 025 -  Apartamento Residencial - Leme - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394642/1686254651_I15753A.JPG?ims=430x323;/leilao/24050/lote/2394642/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 96.154;Visitas: 375 | Lances: 1
Leilão 24050 - 026 -  Apartamento Residencial - Rio De Janeiro - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394664/1679314562_I15575A.JPG?ims=430x323;/leilao/24050/lote/2394664/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 189 | Lances: 0
Leilão 24050 - 027 -  Casa Residencial - Birigui - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394669/1686258216_I15754A.JPG?ims=430x323;/leilao/24050/lote/2394669/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 348 | Lances: 0
Leilão 24050 - 029 -  Apartamento Residencial - Santos - SP ;https://photos.sodresantoro.com.br/imoveis/24050/2394671/1686258219_I15756A.JPG?ims=430x323;/leilao/24050/lote/2394671/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;R$ 212.500;Visitas: 1007 | Lances: 7
Leilão 24050 - 030 -  Casa Residencial (Desocupado)  - Mesquita - RJ ;https://photos.sodresantoro.com.br/imoveis/24050/2394673/1686258220_I15757A.JPG?ims=430x323;/leilao/24050/lote/2394673/ordenacao/nu_lote/tipo-ordenacao/crescente/qtde-itens/4960/;;;Visitas: 285 | Lances: 0
