Titulo;Leilao;Segmento;Tipo Categoria;situacao;data_hora
COMITENTES DIVERSOS;/leilao/24179/;Materiais (65);;Auditório Virtual        ;05/07/2023 11:29:47
BANCOS,SEGURADORAS, ETC;/leilao/24101/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24187/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24188/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24186/;Imóveis (1);Lote Residencial;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24189/;Imóveis (1);Imóvel Residencial;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24193/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24194/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24190/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24196/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24199/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24198/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24200/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24195/;Imóveis (1);Lote de terreno;Auditório Virtual        ;05/07/2023 11:29:47
SUCATAS;/leilao/24169/;Veículos (54);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24161/;Materiais (2);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24157/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24150/;Imóveis (1);Imóvel Residencial;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24163/;Materiais (3);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24165/;Veículos (1);;Leilão Cancelado        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24158/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24151/;Imóveis (1);Parte ideal de 1/5 ...;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24152/;Imóveis (1);Imóvel Residencial;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24167/;Veículos (1);;Auditório Virtual        ;05/07/2023 11:29:47
(TJ) SEF - Setor de Execuções Fiscais da C...;/leilao/24164/;Materiais (1);;Auditório Virtual        ;05/07/2023 11:29:47
